,Team,GP,PTS,FGM,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,BLK,TO
332,Navy Midshipmen,31,66.5,23.1,39.6,5.8,19.5,30.0,14.4,20.4,70.8,35.6,12.1,2.0,10.2
333,Manhattan Jaspers,30,66.2,24.7,41.3,7.3,23.2,31.5,9.5,13.2,72.2,32.8,14.4,2.9,13.4
334,Air Force Falcons,31,66.2,23.5,45.3,8.8,24.4,36.1,10.5,15.3,68.2,28.1,14.5,3.9,12.0
335,Eastern Michigan Eagles,31,66.0,25.3,42.9,5.7,18.9,30.4,9.8,14.6,66.7,34.5,10.4,2.5,11.6
336,UCLA Bruins,33,66.0,23.1,41.9,5.5,16.7,33.2,14.2,19.5,73.0,33.8,11.2,3.3,10.8
337,Detroit Mercy Titans,32,66.0,23.8,42.1,5.8,20.8,28.1,12.6,17.1,73.5,29.4,10.8,2.4,13.3
338,IUPUI Jaguars,32,65.9,24.2,43.8,3.4,13.9,24.8,14.0,19.0,73.6,29.5,10.4,2.1,14.6
339,Middle Tennessee Blue Raiders,33,65.7,22.5,40.2,7.3,23.5,31.1,13.5,19.1,70.4,34.8,10.0,4.2,14.0
340,North Carolina A&T Aggies,32,65.6,22.7,38.8,6.0,20.9,28.7,14.2,19.9,71.3,31.9,10.2,3.3,9.4
341,Rutgers Scarlet Knights,32,65.4,23.4,38.9,5.5,19.1,28.7,13.0,19.8,65.8,37.1,11.8,5.2,11.4
342,Saint Peter's Peacocks,32,65.3,22.0,39.7,5.9,17.7,33.2,15.5,21.7,71.3,35.6,10.8,4.3,12.8
343,Bucknell Bison,33,65.2,23.0,42.8,8.2,24.1,33.8,11.2,15.6,71.6,32.5,12.1,3.4,12.3
344,Maryland-Eastern Shore Hawks,29,65.2,23.0,40.1,5.8,19.7,29.5,13.3,18.6,71.5,34.8,10.8,2.8,13.7
345,St. Francis (PA) Red Flash,30,65.2,23.8,42.4,6.4,19.2,33.5,11.2,18.4,61.0,34.4,12.2,3.6,13.7
346,Lindenwood Lions,31,65.1,22.5,40.3,4.8,17.0,28.3,15.4,21.1,73.2,31.4,8.0,2.5,11.8
347,Pacific Tigers,32,64.7,22.7,41.1,6.3,20.1,31.6,13.1,20.3,64.3,27.4,13.2,2.0,11.8
348,DePaul Blue Demons,32,64.7,22.7,42.3,6.3,18.7,33.5,13.2,17.9,73.3,29.7,12.3,3.1,13.6
349,Marist Red Foxes,31,64.6,23.4,44.3,6.8,19.2,35.6,11.0,15.7,69.7,32.1,12.3,2.8,12.1
350,Loyola Maryland Greyhounds,32,64.0,23.0,41.7,7.2,21.4,33.6,10.8,16.8,64.4,34.1,12.8,2.2,13.5
351,Notre Dame Fighting Irish,33,64.0,22.5,40.7,7.6,23.9,31.8,11.5,15.4,74.4,35.9,10.2,2.4,12.5
352,Wagner Seahawks,32,63.8,23.0,39.6,7.2,22.2,32.6,10.6,15.0,70.7,35.8,12.9,2.3,9.8
353,Cal Poly Mustangs,32,63.7,22.5,40.4,6.2,18.7,33.1,12.5,17.8,70.5,31.3,9.8,3.7,12.7
354,Stonehill Skyhawks,31,63.5,23.0,39.9,8.2,26.9,30.3,9.2,13.4,68.9,32.8,11.8,2.5,13.6
355,Virginia Cavaliers,34,62.9,23.8,42.8,6.5,18.1,35.8,8.9,14.0,63.7,32.6,15.0,5.0,8.1
356,Lafayette Leopards,32,62.8,23.3,40.8,7.1,22.8,31.2,9.2,13.7,67.4,33.3,13.2,4.3,11.6
357,Dartmouth Big Green,27,61.9,22.0,41.1,7.1,23.2,30.5,10.8,15.6,69.0,33.3,12.3,3.5,12.7
358,Siena Saints,32,60.4,21.9,39.9,5.3,18.8,28.0,11.3,16.9,66.7,35.4,10.7,4.1,15.8
359,Army Black Knights,32,60.3,22.1,40.5,7.9,24.6,32.0,8.3,14.0,58.8,33.8,12.5,3.9,12.2
360,Coppin State Eagles,28,58.3,20.3,37.4,5.3,18.6,28.6,12.3,17.0,72.6,30.0,8.3,2.8,15.5
361,Mississippi Valley State Delta Devils,31,55.5,19.8,38.1,4.6,15.8,29.2,11.3,17.2,65.8,29.4,8.7,2.3,15.9
362,Hartford Hawks,1,44.0,17.0,31.5,6.0,26.0,23.1,4.0,12.0,33.3,31.0,7.0,1.0,17.0
