,Team,GP,PTS,FGM,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,BLK,TO
93,North Alabama Lions,32,76.5,26.8,44.4,7.7,21.2,36.2,15.2,19.8,76.8,35.4,11.2,3.2,10.1
94,Georgia State Panthers,31,76.5,27.6,43.5,7.5,23.2,32.6,13.7,18.1,75.7,37.4,11.8,2.9,9.7
95,Nevada Wolf Pack,33,76.4,25.9,47.5,6.7,18.3,36.5,17.9,24.8,72.1,34.5,15.1,3.6,10.0
96,Oakland Golden Grizzlies,34,76.4,26.9,45.0,8.6,24.4,35.1,14.0,18.5,75.8,35.7,14.5,2.8,11.2
97,LSU Tigers,33,76.4,26.3,45.5,7.8,21.7,35.7,16.0,22.1,72.3,35.7,11.8,3.8,13.2
98,NC State Wolfpack,36,76.4,27.4,45.0,7.1,20.4,34.7,14.5,19.8,73.4,35.0,12.8,3.5,9.6
99,Stanford Cardinal,32,76.3,27.6,46.8,8.9,24.2,37.0,12.3,16.9,72.8,34.3,16.1,3.1,12.8
100,SMU Mustangs,32,76.3,28.2,44.6,7.5,22.3,33.8,12.4,18.1,68.4,40.1,15.8,4.9,11.3
101,Syracuse Orange,32,76.3,27.6,46.1,6.8,20.3,33.6,14.3,19.8,72.1,33.3,13.8,4.0,11.4
102,Cleveland State Vikings,34,76.2,28.1,45.1,6.5,19.4,33.6,13.5,20.0,67.4,35.1,13.4,3.9,10.3
103,Colorado State Rams,35,76.1,27.5,49.0,7.4,21.6,34.1,13.7,18.2,75.3,33.1,18.3,3.1,10.2
104,South Florida Bulls,32,76.1,25.4,44.2,9.1,24.5,37.1,16.2,22.0,73.7,36.0,14.9,3.5,10.8
105,South Dakota Coyotes,32,76.1,27.3,45.7,7.8,20.9,37.5,13.5,18.2,74.3,37.0,12.2,1.8,12.8
106,Fairleigh Dickinson Knights,32,75.9,26.3,41.9,8.4,25.4,33.0,14.9,21.3,70.0,37.1,15.1,2.5,12.8
107,Louisiana Ragin' Cajuns,33,75.9,27.8,45.4,7.6,22.5,33.8,12.6,17.2,72.9,34.3,12.4,3.8,11.8
108,Xavier Musketeers,34,75.9,27.1,43.6,6.8,19.9,34.2,14.7,19.8,74.6,38.1,16.2,3.4,11.6
109,Boise State Broncos,32,75.8,26.1,45.2,8.0,23.2,34.5,15.6,21.3,73.5,37.2,12.5,2.4,11.2
110,Fairfield Stags,34,75.8,26.9,44.5,9.2,25.3,36.5,12.9,16.9,76.0,33.6,13.4,2.3,10.6
111,Miami Hurricanes,32,75.8,27.8,45.4,8.9,24.8,36.1,11.3,15.1,74.5,36.7,14.2,3.1,12.1
112,UNC Greensboro Spartans,32,75.7,27.0,46.1,10.1,25.4,39.7,11.6,15.8,73.0,35.4,14.8,2.5,10.9
113,Pittsburgh Panthers,33,75.6,26.5,43.7,9.6,26.9,35.7,13.1,18.5,70.8,37.1,13.7,4.5,9.0
114,Texas Tech Red Raiders,33,75.6,25.8,45.3,8.5,23.4,36.5,15.3,19.7,77.8,35.0,14.7,2.5,11.2
115,Iowa State Cyclones,34,75.6,27.1,46.3,6.5,18.7,34.9,14.7,21.1,69.7,33.9,15.8,3.1,10.7
116,Longwood Lancers,34,75.6,27.0,45.6,5.8,17.0,34.3,15.8,23.2,68.1,38.4,12.9,2.6,12.4
117,Saint Joseph's Hawks,34,75.6,26.4,44.6,10.0,28.2,35.6,12.7,17.5,72.6,35.6,14.6,3.8,11.3
118,Morehead State Eagles,34,75.5,27.0,46.9,9.4,25.9,36.1,12.1,17.2,70.5,39.4,15.1,4.7,12.0
119,Weber State Wildcats,32,75.4,26.3,46.9,7.8,22.5,34.8,14.9,19.9,74.9,32.0,12.2,1.7,9.9
120,UC Santa Barbara Gauchos,31,75.4,26.6,49.0,6.0,16.7,36.0,16.1,21.8,73.6,34.9,13.5,3.2,13.1
121,Oklahoma Sooners,32,75.4,26.1,46.5,7.5,21.6,34.5,15.7,21.2,74.3,35.2,13.3,3.3,12.5
122,Minnesota Golden Gophers,33,75.3,26.8,47.2,7.9,22.3,35.5,13.8,19.8,69.3,34.9,17.5,4.5,11.9
123,Oregon Ducks,34,75.3,27.1,45.7,7.3,21.8,33.6,13.7,19.2,71.5,34.2,13.8,3.6,10.2
124,Ohio State Buckeyes,34,75.3,26.5,45.2,7.1,20.6,34.8,15.1,19.9,76.0,37.0,13.9,4.6,10.6
125,North Dakota Fighting Hawks,32,75.3,26.8,44.4,8.3,25.3,32.6,13.4,18.8,71.3,36.5,11.6,3.0,10.1
126,Kansas Jayhawks,32,75.3,28.1,48.8,5.6,17.1,32.9,13.5,18.6,72.7,35.8,18.8,3.9,11.6
127,Yale Bulldogs,31,75.2,28.2,47.0,7.3,20.9,34.7,11.5,16.2,70.9,37.0,15.2,3.3,9.5
128,Texas A&M-Corpus Christi Islanders,33,75.2,26.9,43.5,5.5,18.7,29.7,15.7,22.4,70.3,40.2,14.7,2.9,12.1
129,Montana State Bobcats,34,75.1,26.8,46.6,9.0,24.5,36.7,12.5,17.1,73.3,30.3,13.1,2.4,11.6
130,Penn State Nittany Lions,33,75.1,25.9,43.8,7.7,23.2,33.4,15.6,20.9,74.7,32.3,12.6,3.4,11.1
131,Wisconsin Badgers,35,75.1,26.7,46.3,7.1,20.4,34.8,14.7,19.3,75.9,33.9,12.7,1.6,9.7
132,Southern Utah Thunderbirds,31,75.0,26.5,44.1,6.3,20.9,30.0,15.8,21.7,72.8,33.9,12.1,3.0,12.0
133,Cal State Northridge Matadors,34,75.0,27.6,45.5,4.9,15.8,30.7,14.9,22.3,66.8,40.0,13.9,3.4,14.1
134,Tulsa Golden Hurricane,31,75.0,25.1,43.9,7.7,23.6,32.7,17.0,23.1,73.6,35.2,12.6,3.4,13.0
135,Virginia Tech Hokies,33,75.0,26.1,46.7,8.2,23.4,35.1,14.6,18.5,79.3,32.2,15.1,2.5,10.9
136,Howard Bison,35,74.9,24.8,44.9,8.0,21.6,37.1,17.3,23.1,75.1,35.3,13.9,2.8,15.2
137,Austin Peay Governors,34,74.9,27.0,45.0,8.0,21.7,36.7,13.0,18.5,70.3,34.1,11.1,2.8,8.7
138,Saint Louis Billikens,33,74.9,25.6,45.1,7.8,21.4,36.7,15.9,21.2,75.0,33.5,12.9,3.1,11.7
139,Ole Miss Rebels,32,74.9,26.2,44.7,7.5,20.6,36.5,15.0,20.6,72.8,33.5,15.1,5.8,10.8
140,Georgia Bulldogs,34,74.9,25.4,42.9,8.0,23.7,33.7,16.1,22.3,72.1,35.7,11.8,3.1,11.3
141,Northern Kentucky Norse,33,74.8,26.7,45.6,6.3,19.9,31.9,15.1,20.9,71.9,34.2,13.8,2.6,12.5
142,Kent State Golden Flashes,34,74.8,26.2,44.1,8.3,23.2,35.8,14.2,19.0,74.6,34.6,12.8,2.6,11.9
143,Texas A&M Aggies,34,74.8,25.4,39.9,6.9,24.2,28.4,17.2,24.3,70.9,42.7,11.3,2.9,9.6
144,Mississippi State Bulldogs,34,74.8,26.4,45.5,7.2,22.2,32.5,14.8,22.0,67.2,38.4,14.1,3.1,12.9
145,Louisiana Tech Bulldogs,32,74.8,25.7,45.7,7.2,19.8,36.2,16.2,23.1,70.1,38.9,12.6,5.0,12.4
146,Dayton Flyers,31,74.7,25.4,47.7,9.5,23.7,40.2,14.5,19.8,73.4,33.7,14.8,4.0,10.3
147,Presbyterian Blue Hose,32,74.7,27.1,47.3,6.4,18.9,33.7,14.2,21.3,66.6,33.1,13.0,3.3,11.4
148,Stephen F. Austin Lumberjacks,33,74.6,25.7,44.9,6.2,18.4,33.4,17.0,24.1,70.6,35.5,12.8,2.8,16.0
149,North Dakota State Bison,32,74.6,27.3,47.6,7.9,20.8,37.8,12.2,17.0,71.8,34.2,11.6,1.3,11.1
150,Cincinnati Bearcats,34,74.6,27.6,44.2,7.3,22.6,32.4,12.1,17.4,69.3,39.5,14.7,4.4,12.0
151,San Diego State Aztecs,34,74.6,25.9,44.0,6.9,22.2,31.3,15.9,21.7,73.3,38.1,13.1,4.0,11.1
152,Bradley Braves,33,74.6,27.1,47.4,9.0,24.2,37.3,11.3,15.7,72.2,34.7,13.4,4.1,12.1
153,Wofford Terriers,32,74.5,27.3,45.9,9.6,26.6,35.9,10.3,16.6,62.0,37.2,15.4,2.7,11.6
154,Pennsylvania Quakers,29,74.4,26.9,45.4,9.5,25.9,36.7,11.1,16.1,68.8,35.9,14.8,2.3,11.1
155,Washington State Cougars,33,74.3,27.4,46.6,6.4,18.8,34.0,13.1,18.6,70.1,37.7,12.5,4.8,10.8
156,Norfolk State Spartans,33,74.3,25.7,45.6,6.3,18.7,33.7,16.5,22.9,72.3,33.9,12.3,3.2,12.2
157,Saint Mary's Gaels,33,74.2,27.6,46.9,7.6,21.5,35.5,11.5,16.9,67.8,39.5,16.2,3.9,10.1
158,Hofstra Pride,33,74.2,27.4,47.1,10.0,27.0,37.1,9.4,12.5,75.3,32.8,15.4,3.5,10.4
159,Boston College Eagles,35,74.2,27.3,45.6,8.2,22.8,36.1,11.4,15.2,75.0,35.2,14.1,3.5,10.5
160,New Hampshire Wildcats,31,74.1,25.8,41.4,8.9,27.4,32.4,13.6,18.2,74.5,37.3,11.8,2.1,12.0
161,Sacred Heart Pioneers,32,74.1,27.0,45.5,7.4,20.3,36.5,12.7,18.3,69.5,33.2,13.8,5.0,11.6
162,USC Trojans,33,74.1,26.4,45.1,7.6,21.5,35.5,13.6,19.7,69.3,34.0,15.6,5.2,12.7
163,Akron Zips,34,74.0,26.2,45.6,8.1,24.6,32.8,13.6,18.7,72.8,36.8,13.1,2.9,11.4
164,Omaha Mavericks,33,74.0,25.6,45.1,6.2,19.1,32.6,16.5,22.2,74.3,33.5,10.2,2.2,9.9
165,South Alabama Jaguars,32,74.0,26.1,44.3,7.5,21.6,34.5,14.3,19.1,75.0,33.0,10.7,2.8,11.3
166,California Golden Bears,32,74.0,26.0,42.1,8.8,26.0,33.8,13.1,18.1,72.7,37.2,12.1,2.6,11.6
167,Nicholls Colonels,34,73.9,25.0,44.5,8.4,22.9,36.5,15.6,21.5,72.5,35.2,11.4,4.1,13.2
168,Liberty Flames,32,73.8,27.0,46.7,10.1,27.5,36.8,9.8,14.8,66.1,34.0,15.9,2.3,10.4
169,Marshall Thundering Herd,33,73.8,26.2,40.8,8.2,26.4,31.0,13.2,18.6,71.1,39.5,14.9,4.4,11.9
170,Tarleton State Texans,33,73.8,27.1,45.4,5.7,17.5,32.5,14.0,18.5,75.9,33.8,13.5,3.6,11.4
171,Northwestern Wildcats,32,73.7,26.3,45.9,8.3,21.1,39.4,12.8,17.1,74.8,31.2,15.7,3.3,8.8
172,Florida International Panthers,33,73.6,26.7,43.7,8.6,25.5,33.8,11.5,17.2,67.0,31.6,14.1,4.1,13.7
173,Seattle U Redhawks,33,73.6,25.8,44.5,7.6,22.2,34.5,14.2,19.5,73.1,36.7,13.3,3.0,12.8
174,Coastal Carolina Chanticleers,31,73.5,26.9,44.4,6.5,20.2,32.1,13.2,19.9,66.4,40.3,12.7,3.1,13.5
175,Ball State Cardinals,31,73.5,24.8,44.6,7.5,20.7,36.2,16.5,21.5,76.7,34.8,12.4,3.1,12.1
176,Bowling Green Falcons,33,73.5,25.9,43.0,6.4,21.5,29.7,15.4,21.6,71.3,38.2,11.2,2.8,11.5
177,New Orleans Privateers,33,73.5,25.6,41.8,5.4,17.8,30.4,16.8,23.4,72.0,34.5,11.8,3.6,12.3
178,Gardner-Webb Runnin' Bulldogs,33,73.5,26.3,43.5,7.5,21.9,34.5,13.4,21.3,63.1,38.1,12.7,2.4,11.7
179,Stony Brook Seawolves,35,73.5,26.3,43.8,7.9,22.1,35.7,13.0,17.5,73.9,36.6,12.1,3.2,10.3
180,St. Bonaventure Bonnies,33,73.5,25.8,45.6,7.6,20.8,36.5,14.2,18.3,77.4,32.8,12.5,3.9,10.8
181,Loyola Chicago Ramblers,32,73.4,26.0,45.3,8.4,23.4,35.7,13.1,19.1,68.3,36.7,16.8,5.1,12.8
182,Oral Roberts Golden Eagles,31,73.4,26.2,44.0,9.2,25.5,36.1,11.8,15.9,74.2,32.9,11.0,3.4,9.7
183,Georgia Southern Eagles,33,73.3,25.7,43.0,9.4,26.6,35.2,12.6,17.3,73.2,34.2,10.7,4.0,13.2
184,Drexel Dragons,32,73.3,26.9,45.7,6.8,19.6,34.4,12.8,17.7,72.2,39.2,12.7,4.0,10.8
185,Northern Iowa Panthers,33,73.2,25.5,45.6,7.2,20.9,34.5,14.9,21.1,70.7,33.8,12.5,2.6,10.3
186,UNLV Rebels,31,73.2,26.4,45.8,6.8,20.3,33.3,13.7,19.0,72.4,34.1,13.1,4.6,11.1
187,Delaware Blue Hens,33,73.2,27.0,46.5,6.9,20.5,33.5,12.3,17.5,70.7,35.7,13.8,3.0,10.8
188,Northern Illinois Huskies,31,73.2,25.8,44.4,7.3,22.5,32.6,14.3,21.2,67.2,35.8,10.2,4.9,12.7
189,Michigan State Spartans,33,73.1,27.2,46.1,6.4,17.8,35.9,12.4,17.6,70.6,34.6,16.3,3.9,9.8
190,Elon Phoenix,32,73.1,25.8,44.6,8.6,24.4,35.2,13.0,18.4,70.7,33.8,13.1,2.7,11.8
191,Houston Cougars,34,73.0,26.4,43.4,7.7,22.2,34.7,12.6,18.2,69.4,37.6,12.9,4.7,8.9
192,Michigan Wolverines,32,72.9,25.9,44.4,8.0,22.2,35.9,13.2,18.7,70.3,35.4,12.5,3.6,12.9
193,Pepperdine Waves,32,72.9,26.3,45.3,6.7,18.8,35.5,13.5,19.3,70.2,33.8,13.2,2.8,11.1
194,Wyoming Cowboys,32,72.8,24.7,45.1,7.5,20.3,37.2,15.9,21.4,74.1,34.4,11.7,2.5,12.8
195,Wichita State Shockers,34,72.8,27.5,44.7,6.5,19.4,33.3,11.3,16.2,69.7,39.4,12.1,4.2,12.3
196,St. Thomas-Minnesota Tommies,33,72.8,26.0,47.1,9.1,25.1,36.1,11.7,16.0,72.9,31.1,13.7,2.2,9.2
197,Seton Hall Pirates,32,72.8,26.2,44.8,5.8,17.8,32.7,14.7,19.0,77.3,37.3,12.6,4.6,12.8
198,Tennessee State Tigers,33,72.7,25.2,44.2,6.6,20.2,32.5,15.7,20.8,75.5,34.5,12.0,3.5,13.2
199,Mount St. Mary's Mountaineers,32,72.7,27.4,47.3,6.8,19.2,35.3,11.2,15.4,72.5,35.1,13.2,3.9,14.5
200,Lehigh Mountain Hawks,32,72.7,25.9,43.9,7.2,22.3,32.2,13.7,18.6,73.5,35.4,13.2,2.3,12.1
201,Robert Morris Colonials,32,72.7,26.0,43.2,8.5,25.4,33.6,12.1,16.9,71.7,36.1,13.5,2.9,13.8
202,Morgan State Bears,31,72.7,27.1,45.1,4.8,16.3,29.3,13.7,18.1,75.8,35.4,12.5,3.6,14.5
203,La Salle Explorers,33,72.7,26.6,43.0,8.5,24.6,34.6,11.0,15.2,72.3,34.5,14.7,3.3,9.6
204,Southern Illinois Salukis,32,72.7,24.7,45.3,8.3,23.8,34.7,15.0,19.7,76.2,32.9,14.3,3.1,11.1
205,UTEP Miners,34,72.6,25.3,44.7,5.7,17.9,31.9,16.4,23.8,69.0,33.1,12.9,2.9,14.7
206,Rhode Island Rams,32,72.6,25.8,45.9,6.5,18.7,34.9,14.4,22.3,64.7,36.8,12.8,3.1,12.6
207,Bethune-Cookman Wildcats,33,72.5,25.0,42.9,5.9,18.4,31.9,16.7,22.1,75.5,33.7,12.2,3.4,14.1
208,Abilene Christian Wildcats,33,72.5,25.4,43.4,5.2,15.4,34.0,16.4,22.6,72.7,33.6,12.8,2.1,12.7
209,San Diego Toreros,33,72.5,25.7,42.9,7.1,20.5,34.4,14.0,19.2,72.8,34.2,13.1,3.8,13.2
210,Niagara Purple Eagles,32,72.5,25.7,47.0,6.2,17.2,36.2,14.9,19.8,75.2,30.3,12.8,2.2,11.8
211,Le Moyne Dolphins,32,72.4,25.7,43.2,9.8,28.4,34.6,11.2,14.7,76.1,33.1,15.7,3.2,11.3
212,Monmouth Hawks,33,72.4,26.1,43.0,7.6,22.0,34.7,12.7,17.7,71.5,35.4,13.1,3.5,10.5
213,Providence Friars,35,72.4,25.5,44.3,8.3,25.5,32.5,13.2,18.3,72.2,35.9,13.6,4.6,12.1
214,Loyola Marymount Lions,31,72.4,25.9,44.8,8.4,22.9,36.8,12.2,16.7,73.0,34.9,11.9,2.6,10.7
215,Vermont Catamounts,34,72.3,25.9,45.6,8.7,25.2,34.4,11.9,16.5,72.0,34.7,13.7,3.9,9.1
216,Indiana Hoosiers,33,72.3,26.6,47.6,5.0,15.5,32.4,14.0,21.1,66.4,34.8,15.3,4.0,12.1
217,Hawai'i Rainbow Warriors,34,72.3,24.8,45.8,7.8,22.8,34.1,14.9,20.8,71.8,34.0,12.2,2.6,12.4
218,Incarnate Word Cardinals,31,72.3,24.8,42.8,7.6,23.0,33.1,15.1,20.8,72.7,36.5,12.2,4.1,16.0
219,Kansas State Wildcats,34,72.2,24.6,43.6,7.4,23.2,31.8,15.6,21.6,72.0,37.2,14.0,4.1,14.8
220,Central Connecticut Blue Devils,31,72.2,26.1,45.1,6.7,20.8,32.2,13.2,18.6,70.9,35.8,14.3,4.8,11.2
221,Missouri Tigers,32,72.2,25.2,43.9,7.3,22.8,31.9,14.4,18.2,79.2,31.0,12.2,4.8,11.6
